Topic 1,Topic 2,Co-occurrence Count
Abraham,Community,666.0
Baal HaSulam,Rashbi,666.0
Penimiut,Tikkunei Zohar,666.0
Rabbi Yehuda Tzvi Brandwein,Rashbi,666.0
Bible,NJPS,665.0
Sermons,Sermons on Sefaria,664.0
Education,Torah,662.0
God,Tzelem Elohim,660.0
Hanukkah,Sukkot,660.0
Penimiut,Rabbi Shimon Bar Yochai,660.0
Devash,Midrash,658.0
Penimiut,Rashbi,657.0
Eating,Kashrut,656.0
Hanukkah,Menorah,656.0
Abraham,Obligation,655.0
Parashat Yitro,Ten Commandments,655.0
Masks,Purim,652.0
Creation,Tzelem Elohim,648.0
Education,Tikkunei Zohar,647.5
Abraham,Israel,645.0
Abraham,Lech Lecha,645.0
Hillel,Hillel and Shammai,645.0
God,Moses,644.0
Prophets,Tanakh,644.0
Blessings,God,643.5
High Holidays,Maimonides,643.5
Egypt,Pesach,640.0
Food,Mitzvot,640.0
Community,Ethics,639.0
Halacha,Halakhah,638.0
אמונה,אמונות ודעות,633.0
מעגל השנה,תרבות,633.0
Candles,Hanukkah,632.5
High Holidays,Prayer,632.5
Love,Torah,632.0
Talmud,Tanakh,632.0
Blessings,Tefilla,630.0
Learning,Tikkunei Zohar,630.0
Commandments,Sukkot,627.0
Holidays,Law,627.0
אמונות ודעות,מנהיגות,626.5
Gender,Women,625.5
God,Philosophy,624.0
Trees,Tu Bishvat,624.0
חיי אדם,משפחה,624.0
Linguistics,Translation,620.0
Situating Nouns,Translation,620.0
Candles,Menorah,617.5
Gender,LGBT,616.5
5781,Sermons on Sefaria,616.0
Ecology,Trees,614.0
Community,Tzedakah,612.0
Community,Holiness,612.0
Kashrut,Kosher,612.0
Law,Torah,612.0
Miriam,Moses,612.0
Bible,Situating Nouns,610.0
Eating,Mitzvot,610.0
God,Maharat,609.0
Debate,Discussion,605.5
Bible,Linguistics,605.0
Mitzvot,Sukkot,605.0
Noah,Parashat Noach,605.0
אחריות וסולידריות,אמונות ודעות,604.5
Megilat Esther,Purim,604.0
Community,Middot,603.0
Isaac,Jacob,602.0
Elul,Teshuvah,600.0
High Holidays,Liturgy,600.0
Creation,Genesis,599.5
Hanukkah,Light,599.5
Mishkan,Tabernacle,599.5
Aaron,Moses,598.5
Blessings,Mitzvot,598.0
2020,Sermons on Sefaria,596.0
Economic Justice,Justice,595.0
Happiness,Joy,595.0
Justice,Torah,595.0
Purim,Vashti,595.0
Repentance,Teshuvah,595.0
Shemitah,Shmita,595.0
Hebrew,Tanakh,594.0
Law,Rambam,594.0
Law,Maimonides,594.0
