Citation 1,Citation 2,Conection Type,Text 1,Text 2,Category 1,Category 2
Yoma 40a:14,Rashi on Yoma 40a:14:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:14,Ritva on Yoma 40a:7,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 40a:14,Ritva on Yoma 40a:9,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 40a:15,Rashi on Yoma 40a:15:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:15,Tosafot on Yoma 40a:15:1,commentary,Yoma,Tosafot on Yoma,Talmud,Commentary
Yoma 40a:15,Ritva on Yoma 40a:10,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 40a:2,Rashi on Yoma 40a:2:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:2,Tosafot on Yoma 40a:2:1,commentary,Yoma,Tosafot on Yoma,Talmud,Commentary
Yoma 40a:2,Tosafot on Yoma 40a:2:2,commentary,Yoma,Tosafot on Yoma,Talmud,Commentary
Yoma 40a:2,Ritva on Yoma 40a:1,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 40a:2,Ritva on Yoma 40a:2,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 40a:3,Rashi on Yoma 40a:3:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:4,Rashi on Yoma 40a:4:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:4,Rashi on Yoma 40a:4:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:4,Ritva on Yoma 40a:3,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 40a:5,Chidushei Halachot on Yoma 40a:1,Commentary,Yoma,Chidushei Halachot on Yoma,Talmud,Other
Yoma 40a:5,Chidushei Halachot on Yoma 40a:2,Commentary,Yoma,Chidushei Halachot on Yoma,Talmud,Other
Yoma 40a:5,Chidushei Halachot on Yoma 40a:4,Commentary,Yoma,Chidushei Halachot on Yoma,Talmud,Other
Yoma 40a:5,Rashi on Yoma 40a:5:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:5,Rashi on Yoma 40a:5:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:5,Tosafot on Yoma 40a:5:1,commentary,Yoma,Tosafot on Yoma,Talmud,Commentary
Yoma 40a:5,Ritva on Yoma 40a:4,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 40a:6,Rashi on Yoma 40a:6:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:7,Rashi on Yoma 40a:7:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:7,Rashi on Yoma 40a:7:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:8,Rashi on Yoma 40a:8:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:8,Rashi on Yoma 40a:8:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:9,Rashi on Yoma 40a:9:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:9,Rashi on Yoma 40a:9:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40a:9,Ritva on Yoma 40a:6,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 40a:9,Leviticus 16:29,,Yoma,Leviticus,Talmud,Tanakh
Yoma 40b:1,Rashi on Yoma 40b:1:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40b:1,Rashi on Yoma 40b:1:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40b:1,Rashi on Yoma 40b:1:3,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40b:1,Ritva on Yoma 40b:1,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 40b:1,Leviticus 16:10,,Yoma,Leviticus,Talmud,Tanakh
Yoma 40b:10,Rashi on Yoma 40b:10:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40b:10,Tosafot on Yoma 40b:10:1,commentary,Yoma,Tosafot on Yoma,Talmud,Commentary
Yoma 40b:10,Leviticus 16:9,,Yoma,Leviticus,Talmud,Tanakh
Yoma 40b:11,Rashi on Yoma 40b:11:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40b:11,Rashi on Yoma 40b:11:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40b:11,Tosafot on Yoma 40b:11:1,commentary,Yoma,Tosafot on Yoma,Talmud,Commentary
Yoma 40b:11,Ritva on Yoma 40b:4,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 40b:11,Ritva on Yoma 40b:5,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 40b:2,Rashi on Yoma 40b:2:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40b:2,Ritva on Yoma 40b:2,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 40b:2,Leviticus 16:10,,Yoma,Leviticus,Talmud,Tanakh
Yoma 40b:2,Leviticus 16:20,,Yoma,Leviticus,Talmud,Tanakh
Yoma 40b:4,Rashi on Yoma 40b:4:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40b:4,Rashi on Yoma 40b:4:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40b:5,Chidushei Halachot on Yoma 40b:1,Commentary,Yoma,Chidushei Halachot on Yoma,Talmud,Other
Yoma 40b:5,Rashi on Yoma 40b:5:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40b:5,Tosafot on Yoma 40b:5:1,commentary,Yoma,Tosafot on Yoma,Talmud,Commentary
Yoma 40b:7,Rashi on Yoma 40b:7:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 40b:7,Leviticus 16:9,,Yoma,Leviticus,Talmud,Tanakh
Yoma 40b:8,Ritva on Yoma 40b:3,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 41a:1,Rashi on Yoma 41a:1:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41a:1,Tosafot on Yoma 41a:1:1,commentary,Yoma,Tosafot on Yoma,Talmud,Commentary
Yoma 41a:1,Ritva on Yoma 41a:1,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 41a:10,Rashi on Yoma 41a:10:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41a:10,Rashi on Yoma 41a:10:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41a:10,Rashi on Yoma 41a:10:3,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41a:10,Tosafot on Yoma 41a:10:1,commentary,Yoma,Tosafot on Yoma,Talmud,Commentary
Yoma 41a:10,Ritva on Yoma 41a:5,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 41a:11,Rashi on Yoma 41a:11:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41a:11,Rashi on Yoma 41a:11:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41a:11,Ritva on Yoma 41a:6,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 41a:12,Rashi on Yoma 41a:12:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41a:12,Rashi on Yoma 41a:12:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41a:13,Rashi on Yoma 41a:13:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41a:14,Rashi on Yoma 41a:14:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41a:14,Ritva on Yoma 41a:7,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 41a:15,Rashi on Yoma 41a:15:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41a:15,Tosafot on Yoma 41a:15:1,commentary,Yoma,Tosafot on Yoma,Talmud,Commentary
Yoma 41a:2,Rashi on Yoma 41a:2:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41a:2,Ritva on Yoma 41a:2,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 41a:3,Rashi on Yoma 41a:3:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41a:3,Leviticus 12:8,,Yoma,Leviticus,Talmud,Tanakh
Yoma 41a:3,Leviticus 15:15,,Yoma,Leviticus,Talmud,Tanakh
Yoma 41a:4,Leviticus 16:9,,Yoma,Leviticus,Talmud,Tanakh
Yoma 41a:7,Rashi on Yoma 41a:7:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:1,Rashi on Yoma 41b:1:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:1,Rashi on Yoma 41b:1:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:1,Ritva on Yoma 41b:1,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 41b:10,Leviticus 16:30,,Yoma,Leviticus,Talmud,Tanakh
Yoma 41b:11,Rashi on Yoma 41b:11:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:11,Rashi on Yoma 41b:11:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:11,Ritva on Yoma 41b:6,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 41b:13,Rashi on Yoma 41b:13:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:13,Rashi on Yoma 41b:13:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:14,Rashi on Yoma 41b:14:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:14,Rashi on Yoma 41b:14:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:14,Rashi on Yoma 41b:14:3,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:15,Rashi on Yoma 41b:15:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:15,Ritva on Yoma 41b:8,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 41b:16,Rashi on Yoma 41b:16:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:16,Rashi on Yoma 41b:16:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:16,Ritva on Yoma 41b:9,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 41b:16,Ritva on Yoma 41b:10,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 41b:16,Numbers 19:6,,Yoma,Numbers,Talmud,Tanakh
Yoma 41b:17,Rashi on Yoma 41b:17:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:17,Rashi on Yoma 41b:17:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:17,Rashi on Yoma 41b:17:3,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:17,Rashi on Yoma 41b:17:4,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:17,Ritva on Yoma 41b:11,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 41b:18,Rashi on Yoma 41b:18:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:18,Rashi on Yoma 41b:18:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:19,Rashi on Yoma 41b:19:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:2,Rashi on Yoma 41b:2:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:20,Rashi on Yoma 41b:20:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:20,Ritva on Yoma 41b:13,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 41b:20,Ritva on Yoma 41b:14,commentary,Yoma,Ritva on Yoma,Talmud,Other
Yoma 41b:21,Rashi on Yoma 41b:21:1,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:21,Rashi on Yoma 41b:21:2,commentary,Yoma,Rashi on Yoma,Talmud,Commentary
Yoma 41b:21,Tosafot on Yoma 41b:21:1,commentary,Yoma,Tosafot on Yoma,Talmud,Commentary
Yoma 41b:22,Tosafot on Yoma 41b:22:1,commentary,Yoma,Tosafot on Yoma,Talmud,Commentary
