Text 1,Text 2,Link Count
Genesis,Tur HaAroch,1139
Psalms,Yismach Moshe,1136
Deuteronomy,Zohar,1132
Eruvin,Tosafot on Eruvin,1129
Pri Megadim on Yoreh De'ah,"Turei Zahav on Shulchan Arukh, Yoreh De'ah",1121
Shabbat,Tur,1119
Rashba on Yevamot,Yevamot,1112
Rashi on Deuteronomy,Siftei Chakhamim,1111
Exodus,Shemot Rabbah,1102
Ibn Ezra on Numbers,Numbers,1099
Numbers,Or HaChaim on Numbers,1098
Midrash Lekach Tov,Numbers,1095
I Chronicles,Metzudat David on I Chronicles,1094
Shabbat,"Shulchan Arukh, Orach Chayim",1092
Esther Rabbah,Etz Yosef on Esther Rabbah,1090
"Mishneh Torah, Sabbath",Shabbat,1086
Baal Shem Tov,Mekor Mayim Chayim on Baal Shem Tov,1080
Aramaic Targum to Job,Job,1070
Exodus,Shadal on Exodus,1066
Bekhor Shor,Genesis,1062
Rashi on Leviticus,Siftei Chakhamim,1062
Eruvin,Jastrow,1056
Jastrow,Midrash Tehillim,1056
Rashi on Numbers,Siftei Chakhamim,1055
Ezekiel,Malbim on Ezekiel,1047
II Samuel,Metzudat David on II Samuel,1047
Proverbs,Zohar,1046
Malbim on Numbers,Numbers,1044
Jastrow,Yevamot,1043
I Samuel,Radak on I Samuel,1039
Rabbeinu Gershom on Temurah,Temurah,1029
Genesis,Malbim on Genesis,1028
Ktav Yad Rashi on Menachot,Menachot,1027
Moed Katan,Steinsaltz on Moed Katan,1025
Be'er Mayim Chaim,Exodus,1024
Ibn Ezra on Leviticus,Leviticus,1023
Rosh Hashanah,Steinsaltz on Rosh Hashanah,1023
Tur,Tur,1018
Leviticus,Midrash Lekach Tov,1007
"Ateret Zekenim on Shulchan Arukh, Orach Chayim","Shulchan Arukh, Orach Chayim",1003
Mizrachi,Rashi on Leviticus,997
Leviticus,Or HaChaim on Leviticus,993
Leviticus,Mizrachi,993
Jastrow,Kiddushin,990
"Mishneh Torah, Sabbath","Shulchan Arukh, Orach Chayim",990
II Kings,Metzudat David on II Kings,986
Genesis,Minchat Shai on Torah,986
Chagigah,Rashi on Chagigah,985
Berakhot,Pri Tzadik,984
Genesis,Jastrow,983
Chullin,Rashba on Chullin,978
Likutei Moharan,Psalms,976
Avodah Zarah,Tosafot on Avodah Zarah,968
Mishnah Negaim,Yachin on Mishnah Negaim,966
Kiddushin,Ritva on Kiddushin,963
Deuteronomy,Or HaChaim on Deuteronomy,960
Chidushei Chatam Sofer on Chullin,Chullin,958
Deuteronomy,Onkelos Deuteronomy,956
Deuteronomy,Tafsir Rasag,956
Deuteronomy,Targum Jonathan on Deuteronomy,956
Ibn Ezra on Job,Job,954
Exodus,Gur Aryeh on Shemot,952
Chokhmat Shlomo on Sanhedrin,Sanhedrin,947
Gur Aryeh on Shemot,Rashi on Exodus,947
Chullin,Tur,945
Ketubot,Rashba on Ketubot,945
Leviticus,Ralbag Beur HaMilot on Torah,944
I Chronicles,Targum of I Chronicles,943
Haamek Davar on Leviticus,Leviticus,941
Chokhmat Shlomo on Shabbat,Shabbat,938
Nahalat Yaakov on Tractate Soferim,Tractate Soferim,937
Ketubot,Penei Yehoshua on Ketubot,936
Sefer Mitzvot Gadol,Sefer Mitzvot Gadol,936
Judges,Metzudat David on Judges,935
Pri Tzadik,Shabbat,935
Midrash Tanchuma,Psalms,932
Deuteronomy,Ralbag Beur HaMilot on Torah,924
Gittin,Rashba on Gittin,923
Midrash Aggadah,Numbers,918
Chullin,"Shulchan Arukh, Yoreh De'ah",917
Genesis,Rashbam on Genesis,916
"Chok Yaakov on Shulchan Arukh, Orach Chayim","Shulchan Arukh, Orach Chayim",916
Aramaic Targum to Proverbs,Proverbs,915
Exodus,Sforno on Exodus,910
Genesis,HaKtav VeHaKabalah,910
"Har HaMoriyah on Mishneh Torah, Sacrificial Procedure","Mishneh Torah, Sacrificial Procedure",909
Jastrow,Kohelet Rabbah,908
Haggahot Chadashot on Sefer Mitzvot Katan,Sefer Mitzvot Katan,908
Kisse Rahamim on Tractate Soferim,Tractate Soferim,908
Genesis,Torah Temimah on Torah,906
Job,Ralbag on Job,904
English Explanation of Mishnah Kelim,Mishnah Kelim,899
Tur,Yevamot,893
Steinsaltz on Taanit,Taanit,892
Gittin,Tur,890
Bartenura on Mishnah Shabbat,Mishnah Shabbat,883
Numbers,Zohar,883
Mishnah Kelim,Tosafot Yom Tov on Mishnah Kelim,882
"Maggid Mishneh on Mishneh Torah, Marriage","Mishneh Torah, Marriage",881
Footnotes and Annotations on Ner Mitzvah,Ner Mitzvah,879
Jastrow,Targum Jonathan on Genesis,875
Daf Shevui to Megillah,Megillah,873
Proverbs,Ralbag on Proverbs,873
Deuteronomy,Yismach Moshe,873
Jastrow,Onkelos Exodus,872
Metzudat Zion on Proverbs,Proverbs,871
Kohelet Rabbah,Perush Maharzu on Kohelet Rabbah,870
Bava Metzia,Rashba on Bava Metzia,867
Jastrow,Niddah,862
Bekhor Shor,Exodus,860
Gur Aryeh on Vayikra,Leviticus,860
Makkot,Rashi on Makkot,860
Leviticus,Onkelos Leviticus,859
Leviticus,Tafsir Rasag,859
Leviticus,Targum Jonathan on Leviticus,859
Chidushei Chatam Sofer on Gittin,Gittin,855
Exodus,Rashbam on Exodus,854
Gur Aryeh on Vayikra,Rashi on Leviticus,854
Divrey Chamudot on Berakhot,Rosh on Berakhot,852
I Kings,Radak on I Kings,850
Otzar Laazei Rashi,Shabbat,849
Pirkei Avot,Yachin on Pirkei Avot,849
Akeidat Yitzchak,Psalms,848
Exodus,Tur HaAroch,847
Niddah,Tosafot on Niddah,846
Eichah Rabbah,Perush Maharzu on Eichah Rabbah,845
Vayikra Rabbah,Yefeh To'ar on Vayikra Rabbah,844
Jastrow,Megillah,842
Chidushei Halachot on Shabbat,Shabbat,838
Berakhot,Tur,835
Jeremiah,Malbim Beur Hamilot on Jeremiah,834
Psalms,Torah Temimah on Psalms,833
I Samuel,Malbim on I Samuel,830
Devarim Rabbah,Perush Maharzu on Devarim Rabbah,829
Ketubot,Sefer Mitzvot Gadol,829
Bartenura on Mishnah Oholot,Mishnah Oholot,829
Melechet Shlomo on Mishnah Kelim,Mishnah Kelim,827
Isaiah,Shenei Luchot HaBerit,823
II Chronicles,Targum of II Chronicles,822
"Mishneh Torah, Marriage","Shulchan Arukh, Even HaEzer",822
Sefer Mitzvot Gadol,Shabbat,822
Agra DeKala,Exodus,821
Exodus,Midrash Aggadah,819
Sanhedrin,Yad Ramah on Sanhedrin,819
Mishpetei Uziel,"Shulchan Arukh, Yoreh De'ah",818
Bava Kamma,Rashba on Bava Kamma,818
I Kings,Targum Jonathan on I Kings,817
Jastrow,Menachot,817
Berakhot,Shita Mekubetzet on Berakhot,813
"Migdal Oz on Mishneh Torah, Marriage","Mishneh Torah, Marriage",812
I Samuel,Targum Jonathan on I Samuel,811
Jastrow,Mishnah Kelim,811
Berakhot,"Shulchan Arukh, Orach Chayim",808
Daniel,Metzudat David on Daniel,808
Job,Mahberet Menachem,804
II Samuel,Radak on II Samuel,802
Bereishit Rabbah,Yedei Moshe on Bereshit Rabbah,798
Midrash Tanchuma Buber,Psalms,798
Pesachim,Rashbam on Pesachim,797
Haflaah on Ketubot,Ketubot,796
